short_descriptions,priority
ir issue cas,LOW
anyconnect certificate validation failure error,LOW
rest sap e box qtc password system,MEDIUM
p nun nokia ssl exploit detect from host,MEDIUM
my sap account has been de activated due long time not loged in,LOW
hr eleave global paid vacations shouldn t be available for trainees colombia,MEDIUM
gr copy accesses from to,CRITICAL
not able to log on,MEDIUM
it corner concierge,LOW
scan from ipad,MEDIUM
snmpagent apac pfizer com notresponding intel,LOW
locked out of credo,MEDIUM
de simago unable to access simago page,LOW
change owner of a colaboration space,MEDIUM
request incorrect incomplete fulfillment of service request,LOW
exchange two user,CRITICAL
remove business role,CRITICAL
nokiameetings webex meeting page is blank,LOW
it corner concierge,LOW
re priority has been assigned to you gq edms user access request permission change request shim juyoun,MEDIUM
it corner concierge,LOW
change of entry date petr ljapin,MEDIUM
modify excluded from distribution,CRITICAL
software fmo pxe error,MEDIUM
pc hardware keyboard concerns,LOW
request incomplete fulfillment of service request,LOW
rest api of pronto tool provides incorrect data sdl pronto power bi view inconsitent,HIGH
please join pre dr meeting for global lims pgs production application on aug am edt am edt,LOW
cisco anyconnect stopped working,LOW
no access to internal job market,LOW
hardware battery faulty,LOW
change request for expected exit date,LOW
ndp execute opportunity missing,MEDIUM
ru edi please setup new message recadv for partner holiday,MEDIUM
jabber phone services cant make calls,LOW
user is unable to access url ext net nokia com,LOW
can t connect cloud instance from network,LOW
requester role required,LOW
need a daily failure report from ipaas related to ndpd or siteforge flow,MEDIUM
amer pfizer com cpqheflttolfan intel,LOW
myhrportal one time payment information,LOW
it corner concierge,LOW
desadv idoc not received to for shipment,MEDIUM
mac unable to work in oulu factory,MEDIUM
organizational mapping missing,LOW
access to zr ftd oos,MEDIUM
de server no backup on,LOW
hvd unable to connect,LOW
attention cchellenic server request nwuqk,CRITICAL
office bit issue,LOW
my landline is giving an error message,MEDIUM
p nun nokia exploit multiple exploit types against single destination,MEDIUM
process chain failures bwr group,LOW
ro cms make barcodes visible in archive,MEDIUM
hcp can not be sampled,MEDIUM
sign into skyp,MEDIUM
unable to login to restricted confluence page,LOW
fnokia case handling unable to close the case,LOW
use veeva vault in another browser,MEDIUM
it corner concierge,LOW
filipe fernandes nid day blocked in tr as absence,LOW
ct red team training orion showing blue team instead of read team please assign it to comm orion,MEDIUM
ch delete technical users in idm,MEDIUM
nokia core programs cisco jabber and microsoft office are missing on software center,LOW
unable to access to share drive,LOW
p nun nokia single infection single host virus clean failed symantec,MEDIUM
hardware battery need replacement,LOW
customer account for martin rickards sky uk,LOW
software fmo windows update is failing,LOW
amer pfizer com cpqclusternetwork intel,HIGH
whitelist and org ua,CRITICAL
jabber other audio settings keeps on changing to intel display audio,LOW
resorce not visisble to ra for allocation,LOW
we experienced a repeatly windows pop up on our sunnyvale linux server at,LOW
sharepoint team site request approval,LOW
gr password reset and unlock,CRITICAL
in sharepoint add logo to group site,LOW
bell mobility inc po received on showing dummy order,MEDIUM
rp nsa unix request,LOW
item sent from alpim but have not arrived in enovia,MEDIUM
software fmo bsod,MEDIUM
hardware laptop fan always on when plugged in,LOW
digital people management,MEDIUM
emea pfizer com cpqclusternode intel,LOW
travel expense entry not visible to line manager to addd travel cost,LOW
mailbox client issue disconnected,LOW
elearn login on new ipad,MEDIUM
hvd is not working,LOW
jabber phone service phone service issue,LOW
software center software installation or un installation issues,LOW
activate pwa project online,LOW
request incomplete fulfillment of service request,LOW
request incomplete fulfillment of service request,LOW
ibp s op,MEDIUM
user emma ruby kleenit com au case id has rejected by ebus synchronization,LOW
it corner concierge,LOW
unable to launch virtual pc india,MEDIUM
in it portal unable to view,LOW
p nun nokia source trying to visit malicious domain,MEDIUM
office activation issue office not activated,LOW
orion access on laptop,MEDIUM
hosted virtual pc does not start anymore,LOW
mesa scheduling client tool password reset,LOW
vpn remote access unable to access several intranet sites,LOW
bitlocker unable to set pin after using recovery key,LOW
computer not found in snow n,LOW
unable to successfully reach https directory int net nokia com over vgp global us chicago,MEDIUM
software center is not working properly,LOW
nl cti system reconfiguration,MEDIUM
change business approvers,CRITICAL
set product name to isam ont in tickets listed,MEDIUM
sap issue invoice creation,LOW
p nun nokia exploit multiple exploit types against single destination,MEDIUM
citrix issue issue logging in to citrix as system assumes that user needs to have rsa,LOW
ng office license upgrade,MEDIUM
nokia hybrid cloud application issues,LOW
fnokia windows unable to install os after booting via pxe not responding,LOW
lost access to s drive,MEDIUM
functional mailbox add delete access rights,LOW
follow up needed for em exception smarts cmdb discovery error snmp agent does not respon and not pingable,MEDIUM
the user is calling stating that they need an active directory account unlock,MEDIUM
it bpm derivation table replate input field,MEDIUM
gdc issue delay transfer of data in zambia eniq,HIGH
it corner concierge,LOW
otsuka vine contractor access,MEDIUM
it corner concierge,LOW
it corner concierge,LOW
the user is calling stating that they need their active directory account enabled,MEDIUM
in support portal cannot login nols,LOW
please include employees in the group s mailing list g cchbc co bso cchellenic com,MEDIUM
not able to jump on server,HIGH
it corner concierge,LOW
user thierry kennes onati pf unable to access the products in support portal,LOW
bi rem phase forward requirements re,MEDIUM
registro informação complementar dos documentos fiscais quando das prestações interestaduais d,LOW
issue oss webcam issue,LOW
co sap bpp field services cost centers,LOW
ru ar cchellenic com,MEDIUM
opdc clinical report publishing mailbox access,MEDIUM
it corner concierge,LOW
hosted virtual desktop applications issues,LOW
dp issue failure for,HIGH
new account still not visible under secondary account menu belongs to case id,LOW
mobile stp qty need to move from main missing site to,LOW
jabber other receiving repeated various calls from tanzania,LOW
pl assign access,MEDIUM
cleartool error while executing ct cmds,LOW
eflow launch access denied on system,MEDIUM
certificate validation failure,LOW
orion nys doccs orion removal request,MEDIUM
filesystem c overutilized intel,MEDIUM
nokia ff support blocked wo s,LOW
p nun nokia exploit multiple exploit types against single destination,MEDIUM
poland service request priority esn order creation ordering urgent,HIGH
hvd not opening for user,LOW
pl talent profiles access,MEDIUM
p nun nokia single infection single host virus clean failed symantec,MEDIUM
new ssh key is not applied in gerrit int net nokia com,LOW
sharepoint missing file,LOW
machine does not respond,LOW
p nun nokia x force premium internal connection to host categorized as malware event type,MEDIUM
cisco vpn not working,LOW
users cannot access sharepoint site page already read access to all nokia is provided,LOW
directory and file permissions,LOW
jabber phone services unable to make a call,LOW
au sharepoint online request to create new page or upload contents on sharepoint,LOW
accessing incorrect hvd,LOW
my support portal profile info are out of date,LOW
this is a bypass ticket please send directly,LOW
need help to map my p drive,MEDIUM
stop auto posting armavista,MEDIUM
sap logistics yposper with no results for luciana bode,LOW
kronos unable to open,LOW
enh route determination missing,LOW
user facing issue with global policy for safter collection training,MEDIUM
it corner concierge,LOW
sp access needed,MEDIUM
health cloud access help,MEDIUM
user chandra mistry bt com need to associate in cares,LOW
gateway list is missing,LOW
vpn unable to connect after migrating to windows,LOW
uk replication of several stps from sap to cover,LOW
snmpagent pfizer com notresponding intel,LOW
it corner concierge,LOW
in vpn certificate validation failure,LOW
vpn remote access,MEDIUM
hp printing unable to login out of order error,HIGH
p nun nokia exploit multiple exploit types against single destination,MEDIUM
unable to access website via site to site connection,LOW
sudheer kammili cw otsuka us com sudheer kammili cw otsuka us com wants to access caseprocessing,MEDIUM
it corner concierge,LOW
default ipad pass code for ipad,MEDIUM
plsd please assign permission send as and editor to mailbox leadership conference warsaw cchellenic com,CRITICAL
cannot access share nsn intra net eefs espoo ipr,HIGH
virtual pc unable to connect to poland virtual desktop server,MEDIUM
security updated got stuck in software center,LOW
oss user and connection open for,MEDIUM
dp issue backup failure for,HIGH
unable to connecto to nokia vpn with anyconnect,LOW
franklin park data center not accessible,CRITICAL
workstation onsite support wireless card software does not run,LOW
can not add rooms into,MEDIUM
vpn to access to intranet,MEDIUM
ch delete barcodes contracts from cms,MEDIUM
ir report not generated for today,HIGH
please reset password,MEDIUM
our functional account jaadojen can t login after migration,HIGH
amer pfizer com cpqclusterresource intel,HIGH
it corner concierge,LOW
knipper paper request issue with hcp s,MEDIUM
spc quality monitoring,MEDIUM
it corner concierge,LOW
autosys ams non prod read write access revoked,LOW
eura the vpn connection failed due to unsuccessful domain name resolution,LOW
it corner concierge,LOW
it corner concierge,LOW
it corner concierge,LOW
priya gupta cw otsuka us com request for cro integration access,MEDIUM
user need a new sap password,MEDIUM
amy noon otsuka us com fw otsuka connect updates,MEDIUM
oriom security model by product,MEDIUM
cisco anyconnect slow connection,LOW
vpn remote access,LOW
deletion of form,LOW
p nun nokia recon local dns scanner,MEDIUM
my computer workstation my pc keeps crashing wiht blue screen of death,LOW
jabber phone services softphone services not work,LOW
request incomplete fulfillment of service request,LOW
git failed to authenticate,MEDIUM
software fmo cant finish windows upgrade,MEDIUM
